evaluation_role,family,model,target_pct,n,source_files,mae_pp,rmse_pp,bias_pp,median_ae_pp,p95_ae_pp,max_ae_pp,within_4pp,clipped_fraction
BLOCKED_OOF,PGD-PGS,C,0.0,143,2,9.041805115966678,9.256083638490988,9.041805115966678,8.820838752906925,12.802578237189968,15.165769422161697,0.0,0.0
BLOCKED_OOF,PGD-PGS,C,25.0,121,3,17.311686458457764,17.313890661531,17.311686458457764,17.2109562041123,17.870268822601453,18.038709902757454,0.0,0.0
BLOCKED_OOF,PGD-PGS,C,50.0,98,3,0.9334247607461373,0.9549186239215532,0.9334247607461373,0.9736976039162641,1.2224303323375694,1.3898599938069296,1.0,0.0
BLOCKED_OOF,PGD-PGS,C,75.0,53,1,16.04763085453187,16.37178932392741,-16.04763085453187,15.634340957308758,15.86422229189171,34.28400471192224,0.0,0.0
BLOCKED_OOF,PGD-PGS,C,100.0,227,1,10.796108875779378,11.10582381269187,-10.796108875779378,10.262360345272441,16.200533542583706,20.537205644368314,0.0,0.0
BLOCKED_OOF,PGD-PGS,C+P+V,0.0,143,2,1.9726172891861675,2.3252706279894118,1.9726172891861675,1.9071494558537287,4.11735904658391,5.102864841448979,0.9370629370629371,0.02097902097902098
BLOCKED_OOF,PGD-PGS,C+P+V,25.0,121,3,2.6684692523127733,3.1416330048265544,2.309096572343332,2.5491470660517592,5.42342342237713,6.641976281953699,0.7520661157024794,0.0
BLOCKED_OOF,PGD-PGS,C+P+V,50.0,98,3,5.774592526826438,6.190993378523257,5.774592526826438,6.026939185215255,8.794023094459437,9.082812395546817,0.32653061224489793,0.0
BLOCKED_OOF,PGD-PGS,C+P+V,75.0,53,1,3.6980888765144027,4.584427484739943,-3.6980888765144027,3.164079966702957,5.441923263599826,17.607367067975304,0.8113207547169812,0.0
BLOCKED_OOF,PGD-PGS,C+P+V,100.0,227,1,3.6646309705953737,4.057230457455695,-3.6646309705953737,3.5439195404328814,6.7750861976259475,10.134749404632728,0.6167400881057269,0.0
BLOCKED_OOF,PGD-PGS,C+P+V+route,0.0,143,2,23.09063712778523,23.498322910880468,23.09063712778523,23.945824837971895,26.4561621458062,26.99939536000681,0.03496503496503497,0.0
BLOCKED_OOF,PGD-PGS,C+P+V+route,25.0,121,3,2.073347030226286,2.324847174185981,-2.073347030226286,1.9171065914469487,3.9456933312309026,5.278724325334608,0.9504132231404959,0.0
BLOCKED_OOF,PGD-PGS,C+P+V+route,50.0,98,3,4.727515037034552,5.009122380810202,-0.07887670384131326,4.570895308835333,7.930658905607992,9.775990351961191,0.3673469387755102,0.0
BLOCKED_OOF,PGD-PGS,C+P+V+route,75.0,53,1,9.498967891136811,10.070280576641759,-2.5563705208097316,10.372301301526974,12.897334670511137,13.407398426799844,0.11320754716981132,0.0
BLOCKED_OOF,PGD-PGS,C+P+V+route,100.0,227,1,2.3583188889763758,2.6345130910433165,-2.3583188889763758,2.248665844178717,4.486109810318508,6.790522584030882,0.8986784140969163,0.004405286343612335
BLOCKED_OOF,PGD-PGS,C+V,0.0,143,2,11.5100901865862,11.580694903886261,11.5100901865862,11.193810140300656,13.471856671438022,15.07459370446197,0.0,0.0
BLOCKED_OOF,PGD-PGS,C+V,25.0,121,3,3.575635951746916,3.600998057739953,3.575635951746916,3.496531059934732,4.4451951738886315,4.764424546833482,0.8429752066115702,0.0
BLOCKED_OOF,PGD-PGS,C+V,50.0,98,3,6.275796723944515,6.401096838881283,-6.275796723944515,6.421080464916692,8.109990613645786,8.53412452768773,0.0,0.0
BLOCKED_OOF,PGD-PGS,C+V,75.0,53,1,11.585804403076146,11.816212950670248,-11.585804403076146,11.516269362556237,12.713720195049543,22.552235959758143,0.0,0.0
BLOCKED_OOF,PGD-PGS,C+V,100.0,227,1,4.106119460388641,4.7227917692599135,-4.106119460388641,3.7303563946477993,8.32466706899673,13.003367611428644,0.5418502202643172,0.022026431718061675
BLOCKED_OOF,PGD-PGS,OLS-V,0.0,143,2,24.598207294525558,24.64717447280551,24.598207294525558,24.11490492523745,26.679320410568955,27.195170452414136,0.0,0.0
BLOCKED_OOF,PGD-PGS,OLS-V,25.0,121,3,10.41475048727661,10.439505195226632,-10.41475048727661,10.407961415487875,11.530671245379423,11.82909417444914,0.0,0.0
BLOCKED_OOF,PGD-PGS,OLS-V,50.0,98,3,12.662445561724732,12.999434513573837,-12.662445561724732,13.041755865593299,16.89710456504541,17.87035194583519,0.0,0.0
BLOCKED_OOF,PGD-PGS,OLS-V,75.0,53,1,3.8185688724769107,4.215237906707098,-3.246174355399326,3.8640044362548025,6.649452747458125,7.435773274572142,0.5094339622641509,0.0
BLOCKED_OOF,PGD-PGS,OLS-V,100.0,227,1,0.26727172232484514,0.8161358984977118,-0.26727172232484514,0.0,2.3826072673690297,4.224404783523937,0.9955947136563876,0.8370044052863436
BLOCKED_OOF,PGD-PGS,P,0.0,143,2,2.763266043181766,3.2025438049829735,2.763266043181766,2.89247228172217,5.159840696873859,6.842090905945959,0.7202797202797203,0.006993006993006993
BLOCKED_OOF,PGD-PGS,P,25.0,121,3,4.114169090664625,4.888858138482584,3.4899506198256063,3.791443615566397,8.644957657757232,10.70170124114506,0.5206611570247934,0.0
BLOCKED_OOF,PGD-PGS,P,50.0,98,3,16.07249565672133,16.32836384089944,16.07249565672133,16.908251817658673,20.04257163837525,20.33059664345211,0.0,0.0
BLOCKED_OOF,PGD-PGS,P,75.0,53,1,2.191181170889067,2.686291590522903,1.528111790648335,1.9041826463558493,3.6705972007179204,9.346387222479535,0.9622641509433962,0.0
BLOCKED_OOF,PGD-PGS,P,100.0,227,1,9.119989171856759,9.185368434846275,-9.119989171856759,9.129142581367162,11.112960371672722,12.589017857228967,0.0,0.0
BLOCKED_OOF,PGD-PGS,Piecewise-V,0.0,143,2,5.022169225139064,6.168956482878992,5.022169225139064,3.973890419267917,11.032654246381439,13.058915617487584,0.5034965034965035,0.0
BLOCKED_OOF,PGD-PGS,Piecewise-V,25.0,121,3,0.8779471128418088,1.4970802370346163,-0.8779471128418088,0.1325229936510297,3.2920688048714055,4.556141055022067,0.9752066115702479,0.0
BLOCKED_OOF,PGD-PGS,Piecewise-V,50.0,98,3,5.251209995991647,7.313250308197191,-3.173147933431684,2.8865021357052427,14.205272119698806,17.881027342187423,0.6326530612244898,0.0
BLOCKED_OOF,PGD-PGS,Piecewise-V,75.0,53,1,1.9390723469360533,2.526986732162478,0.15755810057889083,1.7681108498891547,4.477510692580901,9.05148996660644,0.9433962264150944,0.0
BLOCKED_OOF,PGD-PGS,Piecewise-V,100.0,227,1,1.008178600151401,1.7358535664151755,-1.008178600151401,0.21155452726307544,4.199222082583256,5.738637858364726,0.947136563876652,0.0
BLOCKED_OOF,PGD-PGS,V,0.0,143,2,28.78272356340549,28.809177359751413,28.78272356340549,28.249573585054787,30.58864757492671,30.82640763292608,0.0,0.0
BLOCKED_OOF,PGD-PGS,V,25.0,121,3,4.197694398377197,4.250256536742693,-4.197694398377197,4.211057323327033,5.268116843587514,5.50933050201467,0.35537190082644626,0.0
BLOCKED_OOF,PGD-PGS,V,50.0,98,3,11.07120231383768,11.317246270408997,-11.07120231383768,11.256189475021628,14.398409841849098,15.18508049750811,0.0,0.0
BLOCKED_OOF,PGD-PGS,V,75.0,53,1,8.655119276243271,8.888359657772051,-8.655119276243271,9.201676128007037,11.02129723467923,11.31680835108174,0.05660377358490566,0.0
BLOCKED_OOF,PGD-PGS,V,100.0,227,1,8.94795815498593,9.35764462649963,-8.94795815498593,9.166263058660476,13.453160881357611,15.126294943381723,0.04405286343612335,0.0
BLOCKED_OOF,PGT-PGD,C,0.0,227,1,7.640190319519018,8.47379840416598,7.640190319519018,6.670053643527183,14.862144240745986,23.268898296167748,0.10572687224669604,0.0
BLOCKED_OOF,PGT-PGD,C,25.0,102,1,14.081964126128616,14.11265476645972,14.081964126128616,14.110450216621025,14.911033376791984,18.99300985152869,0.0,0.0
BLOCKED_OOF,PGT-PGD,C,50.0,201,2,2.4609255530469034,2.603507055779708,-2.4609255530469034,2.3497116183596987,3.8678710228766064,6.1036950002369394,0.9552238805970149,0.0
BLOCKED_OOF,PGT-PGD,C,75.0,114,3,17.699813270122778,17.712850072193778,-17.699813270122778,17.617254348996777,18.96250641630039,21.487825215420834,0.0,0.0
BLOCKED_OOF,PGT-PGD,C,100.0,87,2,9.817702585120573,10.497946180059886,-9.817702585120573,9.132909888351193,18.238787233474707,21.652965237611753,0.0,0.0
BLOCKED_OOF,PGT-PGD,C+P+V,0.0,227,1,4.807581086472848,6.590521919955937,4.807581086472848,4.044568292986519,13.379394004484265,20.546725619457373,0.4933920704845815,0.13656387665198239
BLOCKED_OOF,PGT-PGD,C+P+V,25.0,102,1,6.132654667932752,8.166023485776087,1.1022029139559453,4.513809492461487,16.76718858971434,25.0,0.46078431372549017,0.029411764705882353
BLOCKED_OOF,PGT-PGD,C+P+V,50.0,201,2,5.883160256018463,6.8794902856756766,-5.418336593031274,5.726109632577582,11.406844785263168,17.678005241851537,0.3333333333333333,0.0
BLOCKED_OOF,PGT-PGD,C+P+V,75.0,114,3,3.9253191716170006,4.652049590260626,-3.6320732616769478,3.969393040117801,7.887376233526076,10.306146673365177,0.5,0.0
BLOCKED_OOF,PGT-PGD,C+P+V,100.0,87,2,0.2592449342091325,0.9689929027162862,-0.2592449342091325,0.0,1.1690595619809558,6.297063549245323,0.9770114942528736,0.8505747126436781
BLOCKED_OOF,PGT-PGD,C+P+V+route,0.0,227,1,0.5997769369497973,0.9339249853789586,0.5997769369497973,0.3646210762543867,2.0767168090330053,3.0002987426458936,1.0,0.3392070484581498
BLOCKED_OOF,PGT-PGD,C+P+V+route,25.0,102,1,4.097267868356024,8.072823410061673,2.937814511551322,1.7465693778184441,25.913035650037482,31.3165847266989,0.7843137254901961,0.0
BLOCKED_OOF,PGT-PGD,C+P+V+route,50.0,201,2,2.36734039783822,3.018097245962759,1.350498976916575,1.8210673735438903,6.224173314585187,8.10974028267006,0.8109452736318408,0.0
BLOCKED_OOF,PGT-PGD,C+P+V+route,75.0,114,3,4.139936622342422,4.546953418473844,-4.132153355602672,3.9627684889276793,7.407291078555525,13.016443645999118,0.5,0.0
BLOCKED_OOF,PGT-PGD,C+P+V+route,100.0,87,2,4.6523400042520775,4.915692966443397,-4.6523400042520775,4.887560896475179,7.0900514802871815,8.553598530281207,0.3103448275862069,0.0
BLOCKED_OOF,PGT-PGD,C+V,0.0,227,1,5.380537317930235,6.539628806229647,5.380537317930235,4.571590365701641,12.815189372628073,18.648636507112396,0.4185022026431718,0.05726872246696035
BLOCKED_OOF,PGT-PGD,C+V,25.0,102,1,10.746332022516649,11.50874944864854,9.891877948903678,10.726766957795054,16.045888160754732,25.0,0.0392156862745098,0.00980392156862745
BLOCKED_OOF,PGT-PGD,C+V,50.0,201,2,4.759967753336758,5.154191417088126,-4.75201183231696,4.983057614440675,8.129618204297465,10.738648214321522,0.36318407960199006,0.0
BLOCKED_OOF,PGT-PGD,C+V,75.0,114,3,9.144507599393961,9.363286765457296,-9.144507599393961,8.94008215171467,12.279995042911581,15.681073775397273,0.0,0.0
BLOCKED_OOF,PGT-PGD,C+V,100.0,87,2,3.2032837578528466,4.457023718441173,-3.2032837578528466,2.724063840434198,9.562244738359245,12.90855066181905,0.6551724137931034,0.1839080459770115
BLOCKED_OOF,PGT-PGD,OLS-V,0.0,227,1,3.3148356964070507,4.780703099136038,3.3148356964070507,2.2867388256669585,10.977979039041486,13.88273654321182,0.6696035242290749,0.24669603524229075
BLOCKED_OOF,PGT-PGD,OLS-V,25.0,102,1,8.14363298148284,10.039223842174673,4.323788145410492,6.9618032502441825,18.19371356337913,29.741299927286285,0.28431372549019607,0.0196078431372549
BLOCKED_OOF,PGT-PGD,OLS-V,50.0,201,2,9.141453027488346,10.049128351224962,-9.067968335973164,9.209944683754202,16.1096569660956,19.72034623451816,0.12935323383084577,0.0
BLOCKED_OOF,PGT-PGD,OLS-V,75.0,114,3,3.2868638722220376,4.078781121362444,-0.31550535265842006,2.7416901390608217,8.133078763409546,11.19925475356704,0.6578947368421053,0.0
BLOCKED_OOF,PGT-PGD,OLS-V,100.0,87,2,0.30444525366099,1.0655273739041113,-0.30444525366099,0.0,1.060873247107198,6.329786437088686,0.9655172413793104,0.8045977011494253
BLOCKED_OOF,PGT-PGD,P,0.0,227,1,5.434004357302291,7.257885269214194,5.434004357302291,4.330859059772834,14.710749722755834,20.63167257796064,0.4669603524229075,0.10572687224669604
BLOCKED_OOF,PGT-PGD,P,25.0,102,1,7.466597126877462,9.69697669133814,1.4541239594270605,5.325916320510084,22.274454522314883,26.608160894389698,0.35294117647058826,0.029411764705882353
BLOCKED_OOF,PGT-PGD,P,50.0,201,2,7.5597594857607,8.743655911247437,-6.937155090972982,7.379122263850775,13.958565939478852,21.354479335335952,0.24875621890547264,0.0
