family,context,seed,model,fields,n_features,fit_rows
PGT-PGD,fold-0,123,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,443
PGT-PGD,fold-0,2026,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,443
PGT-PGD,fold-0,2026,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,443
PGT-PGD,fold-1,42,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,403
PGT-PGD,fold-1,42,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,403
PGT-PGD,fold-1,123,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,403
PGT-PGD,fold-1,123,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,403
PGT-PGD,fold-1,2026,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,403
PGT-PGD,fold-1,2026,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,403
PGT-PGD,fold-2,42,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,448
PGT-PGD,fold-2,42,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,448
PGT-PGD,fold-2,123,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,448
PGT-PGD,fold-2,123,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,448
PGT-PGD,fold-2,2026,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,448
PGT-PGD,fold-2,2026,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,448
PGT-PGD,final,42,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,731
PGT-PGD,final,42,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,731
PGT-PGD,final,123,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,731
PGT-PGD,final,123,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,731
PGT-PGD,final,2026,C+P+V,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,731
PGT-PGD,final,2026,C+P+V+route,wave_evidence;vpp_v;positive_peak_v;negative_peak_abs_v;rms_v;mean_abs_v;positive_auc_vs;negative_auc_abs_vs;absolute_auc_vs;crest_factor;half_peak_width_s;duration_s;skewness;kurtosis;zero_crossings;template_corr;snr_proxy_db,17,731
