evaluation_role,family,model,mean_mae_pp,worst_mae_pp,seed_mae_min_pp,seed_mae_max_pp,seed_mae_sd_pp
BLOCKED_OOF,PGD-PGS,C,10.826131213096366,17.311686458457764,10.373344698970383,11.17246306868599,0.41011433412788834
BLOCKED_OOF,PGD-PGS,C+P+V,3.555679783087031,5.774592526826438,3.469067843050844,3.625785806208511,0.07971127171689686
BLOCKED_OOF,PGD-PGS,C+P+V+route,8.34975719503185,23.09063712778523,8.344381344222612,8.357448644581421,0.00669034145431117
BLOCKED_OOF,PGD-PGS,C+V,7.410689345148484,11.585804403076146,7.097919417457218,7.715194942484878,0.3087793621372037
BLOCKED_OOF,PGD-PGS,OLS-V,10.352248787665731,24.598207294525558,10.352248787665731,10.352248787665731,0.0
BLOCKED_OOF,PGD-PGS,P,6.852220226662709,16.07249565672133,6.852220226662709,6.852220226662709,0.0
BLOCKED_OOF,PGD-PGS,Piecewise-V,2.819715456211995,5.251209995991647,2.819715456211995,2.819715456211995,0.0
BLOCKED_OOF,PGD-PGS,V,12.330939541369913,28.78272356340549,12.330939541369915,12.330939541369915,0.0
BLOCKED_OOF,PGT-PGD,C,10.340119170787577,17.699813270122778,10.053178525620543,10.773490306994198,0.38182938876675404
BLOCKED_OOF,PGT-PGD,C+P+V,4.201592023250039,6.132654667932752,4.148883501227074,4.282282619550575,0.06881153712086813
BLOCKED_OOF,PGT-PGD,C+P+V+route,3.171332365947708,4.6523400042520775,3.169243859165984,3.172920299646647,0.0019251331702883634
BLOCKED_OOF,PGT-PGD,C+V,6.646925690206091,10.746332022516649,6.508327747232292,6.856606024101066,0.18142137410930864
BLOCKED_OOF,PGT-PGD,OLS-V,4.838246166252253,9.141453027488346,4.838246166252254,4.838246166252254,0.0
BLOCKED_OOF,PGT-PGD,P,4.880115177462905,7.5597594857607,4.880115177462906,4.880115177462906,0.0
BLOCKED_OOF,PGT-PGD,Piecewise-V,4.349603580964146,10.538655835829996,4.349603580964145,4.349603580964145,0.0
BLOCKED_OOF,PGT-PGD,V,8.870014518669507,10.765532099996781,8.870014518669507,8.870014518669507,0.0
REUSED_CONFIRMATION,PGD-PGS,C,8.41044362692625,12.275218725930856,4.561360054236611,13.339974717596135,4.438867488716099
REUSED_CONFIRMATION,PGD-PGS,C+P+V,7.217222235722384,10.0,6.892436118872904,7.693296237581042,0.4213196536446122
REUSED_CONFIRMATION,PGD-PGS,C+P+V+route,6.524218689262902,10.609544496071269,6.330490979275699,6.710368835502877,0.1900522586479749
REUSED_CONFIRMATION,PGD-PGS,C+V,7.051569213432632,13.056873998478776,5.606076282877365,10.041951902799164,2.325329428327155
REUSED_CONFIRMATION,PGD-PGS,OLS-V,9.026090505489945,11.258283976836246,9.026090505489947,9.026090505489947,0.0
REUSED_CONFIRMATION,PGD-PGS,P,7.907927793290071,11.67758120864278,7.907927793290071,7.907927793290071,0.0
REUSED_CONFIRMATION,PGD-PGS,Piecewise-V,7.57696611965083,13.575462917725257,7.57696611965083,7.57696611965083,0.0
REUSED_CONFIRMATION,PGD-PGS,V,10.314905936470208,12.262845250823386,10.314905936470208,10.314905936470208,0.0
REUSED_CONFIRMATION,PGT-PGD,C,7.356023406829112,11.409066985054034,4.980403872278513,9.702319243895959,2.388252577458372
REUSED_CONFIRMATION,PGT-PGD,C+P+V,7.481905129890279,13.738558386998609,6.838786644045945,8.155274400528755,0.6612310334089556
REUSED_CONFIRMATION,PGT-PGD,C+P+V+route,10.482427150506968,21.68208916421289,10.458296269121623,10.520115371323191,0.0330643529890577
REUSED_CONFIRMATION,PGT-PGD,C+V,8.247600323987259,10.9422666364305,6.7425268066034825,9.69669625246032,1.4785505578298168
REUSED_CONFIRMATION,PGT-PGD,OLS-V,10.586237601033362,12.757446369276824,10.586237601033362,10.586237601033362,0.0
REUSED_CONFIRMATION,PGT-PGD,P,5.1279929917485925,11.085815032383378,5.127992991748593,5.127992991748593,0.0
REUSED_CONFIRMATION,PGT-PGD,Piecewise-V,9.281724145774733,14.838341426171345,9.281724145774733,9.281724145774733,0.0
REUSED_CONFIRMATION,PGT-PGD,V,8.393599346568955,11.860549938466793,8.393599346568955,8.393599346568955,0.0
